id,nom_post,nom_comm,code_insee,modes,date_instal,localisation,type_compteur,type_axe,tmj_2019,tmj_2020,tmj_2021,tmj_2022,tmjo_2019,tmjo_2020,tmjo_2021,tmjo_2022,tmjwe_2019,tmjwe_2020,tmjwe_2021,tmjwe_2022,jour_de_pointe_2022,jour_de_pointe_2021,jour_de_pointe_2020,jour_de_pointe_2019,date_pointe_2022,date_pointe_2021,date_pointe_2020,territoire,date_pointe_2019,fid,geo_point_2d
35,(Crolles) Rue de l'Europe,Crolles,38140,Velos,20221005,Rue de l'Europe,Boucle_ZELT,voie verte,,,,184,,,,218,,,,97,448,,,,20221019,,,Grésivaudan,,1,"45.26632800001879, 5.883597000000001"
36,(Montbonnot) Avenue de l'Europe,Montbonnot,38249,Velos,20221006,Avenue de l'Europe,Boucle_ZELT,bidirectionnelle,,,,152,,,,164,,,,120,365,,,,20221018,,,Grésivaudan,,2,"45.21942400001893, 5.810544"
28,(Echirolles) rue Victor Hugo,Échirolles,38151,Velos,20201112,Rue Victor Hugo,Boucle_ZELT,chronovélo,,304.0,536.0,737,,400.0,680.0,955,,179.0,290.0,350,1499,1135.0,528.0,,20221018,20210907.0,20201118.0,Grenoble Alpes Metropole,,3,"45.15498351431255, 5.71241623986171"
33,(Voreppe) Avenue du 11 novembre,Voreppe,38565,Velos,20221004,Avenue du 11 novembre,Boucle_ZELT,voie verte,,,,59,,,,65,,,,41,146,,,,20221017,,,Pays Voironnais,,4,"45.29204100001872, 5.633207999999999"
34,(Moirans) Avenue Joseph Trabbia,Moirans,38239,Velos,20221005,Avenue Joseph Trabbia,Boucle_ZELT,voie verte,,,,84,,,,98,,,,50,208,,,,20221011,,,Pays Voironnais,,5,"45.32450782934831, 5.569027776990686"
31,(SMLV) Pont d'Oxford - Afficheur,Saint-Martin-le-Vinoux,38423,Velos,20220210,Pont d'Oxford,ZELT+Afficheur,voie verte,,,,1246,,,,1731,,,,383,2505,,,,20221018,,,Grenoble Alpes Metropole,,6,"45.207988000018965, 5.702445999999999"
30,(Saint Martin d'Hères) Campus universitaire,Saint-Martin-d'Hères,38421,Velos,20220406,Campus Universitaire,Boucle_ZELT,chronovélo,,,,710,,,,979,,,,364,1675,,,,20221018,,,Grenoble Alpes Metropole,,7,"45.186215000019004, 5.769533999999999"
32,(Pont de Claix) PEM l'Etoile - Afficheur,Le Pont-de-Claix,38317,Velos,20210927,L'Etoile,ZELT+Afficheur,chronovélo,,,250.0,369,,,303.0,429,,,172.0,252,707,521.0,,,20221011,20211014.0,,Grenoble Alpes Metropole,,8,"45.13781800001914, 5.702301000000001"
26,(Meylan) Mairie / Afficheur,Meylan,38229,Velos,20200918,Mairie de Meylan,ZELT+Afficheur,chronovélo,,375.0,412.0,486,,455.0,489.0,601,,230.0,276.0,274,1341,990.0,964.0,,20221018,20210908.0,20200923.0,Grenoble Alpes Metropole,,9,"45.20945100001895, 5.779065999999999"
15,(Saint Egreve) Digue - VV2 V63,Saint-Égrève,38382,Velos,20190415,Digue Saint-Egrève,Boucle_ZELT,voie verte,143.0,,330.0,410,192.0,,319.0,425,115.0,,343.0,366,739,1071.0,217.0,1105.0,20220511,20210508.0,20200517.0,Grenoble Alpes Metropole,20190501.0,10,"45.21756898664909, 5.67510107458592"
20,(Seyssins) Digue - Passerelle Drac1,Seyssins,38486,Velos,20090616,Passerelle de Seyssins,Boucle_ZELT,passerelle,739.0,791.0,939.0,1054,777.0,823.0,994.0,1170,613.0,718.0,861.0,844,1852,2156.0,1820.0,1647.0,20221018,20210424.0,20200930.0,Grenoble Alpes Metropole,20190501.0,11,"45.16853801876077, 5.699930576529093"
22,(Fontaine) Digue - Quai du Drac,Fontaine,38169,Velos,20091218,Digue Fontaine,Boucle_ZELT,voie verte,429.0,1097.0,1294.0,1488,661.0,1169.0,1427.0,1695,418.0,947.0,1098.0,1115,2492,2746.0,2470.0,1266.0,20220510,20210424.0,20200930.0,Grenoble Alpes Metropole,20191219.0,12,"45.1946450584217, 5.700130910207973"
14,(Echirolles) Digue - Comboire V64,Échirolles,38151,Velos,20190416,Digue Comboire,Boucle_ZELT,voie verte,336.0,513.0,651.0,734,354.0,502.0,661.0,770,262.0,493.0,640.0,642,1234,1634.0,1321.0,601.0,20220326,20210424.0,20200606.0,Grenoble Alpes Metropole,20190716.0,13,"45.154631266823955, 5.697990421830658"
